,median_rent_pct_income,median_rent_pct_income_moe,zip
845,21.4,14.9,03284
846,43.7,29.8,03285
847,27.8,12.0,03287
848,51.0,-333333333.0,03290
849,-666666666.0,-222222222.0,03291
850,-666666666.0,-222222222.0,03293
851,28.5,1.5,03301
852,27.2,2.1,03303
853,28.4,3.0,03304
854,29.2,10.4,03307
855,28.7,1.8,03431
856,45.3,4.6,03440
857,-666666666.0,-222222222.0,03441
858,22.1,11.7,03442
859,-666666666.0,-222222222.0,03443
860,23.2,2.8,03444
861,28.8,4.1,03445
862,38.2,14.6,03446
863,37.3,4.3,03447
864,42.1,18.9,03448
865,20.0,25.9,03449
866,22.0,7.9,03450
867,39.7,16.1,03451
868,28.2,10.5,03452
869,35.5,27.8,03455
870,14.2,16.1,03456
871,19.2,5.7,03457
872,20.4,5.8,03458
873,23.1,2.0,03461
874,-666666666.0,-222222222.0,03462
875,-666666666.0,-222222222.0,03464
876,23.6,15.5,03465
877,-666666666.0,-222222222.0,03466
878,25.0,9.4,03467
879,27.6,3.3,03470
880,27.2,6.1,03561
881,28.3,3.0,03570
882,27.3,6.5,03574
883,-666666666.0,-222222222.0,03575
884,29.7,6.5,03576
885,18.5,8.8,03579
886,39.3,35.4,03580
887,27.4,4.0,03581
888,34.4,6.5,03582
889,22.5,1.4,03583
890,27.8,3.6,03584
891,32.1,8.9,03585
892,23.8,17.8,03586
893,25.0,4.6,03588
894,30.8,22.1,03590
895,51.0,-333333333.0,03592
896,30.0,23.2,03593
897,18.4,12.1,03595
898,10.9,5.6,03597
899,29.7,7.8,03598
900,-666666666.0,-222222222.0,03601
901,32.0,1.9,03602
902,51.0,-333333333.0,03603
903,-666666666.0,-222222222.0,03604
904,-666666666.0,-222222222.0,03605
905,26.4,13.5,03607
906,31.6,5.2,03608
907,18.0,1.5,03609
908,16.3,3.2,03740
909,49.0,18.2,03741
910,34.9,3.4,03743
911,19.3,11.0,03745
912,19.8,5.0,03748
913,-666666666.0,-222222222.0,03750
914,-666666666.0,-222222222.0,03751
915,27.5,19.4,03752
916,-666666666.0,-222222222.0,03753
917,39.9,11.3,03755
918,-666666666.0,-222222222.0,03765
919,27.0,2.4,03766
920,32.2,10.1,03768
921,43.7,9.4,03770
922,24.2,32.5,03771
923,26.8,5.0,03773
924,-666666666.0,-222222222.0,03774
925,25.6,9.7,03777
926,42.0,8.4,03779
927,-666666666.0,-222222222.0,03780
928,14.3,8.4,03781
929,24.6,7.2,03782
930,28.6,4.4,03784
931,32.9,10.0,03785
932,30.1,1.6,03801
933,25.4,16.0,03809
934,-666666666.0,-222222222.0,03810
935,37.3,14.2,03811
936,-666666666.0,-222222222.0,03812
937,37.7,25.7,03813
938,39.1,9.2,03814
939,13.0,1.2,03816
940,30.7,4.1,03817
941,32.5,29.4,03818
942,51.0,-333333333.0,03819
943,29.5,2.2,03820
944,19.3,2.8,03823
945,41.3,8.2,03824
946,36.2,14.0,03825
947,28.0,5.6,03826
948,27.2,2.0,03827
949,-666666666.0,-222222222.0,03830
950,-666666666.0,-222222222.0,03832
951,33.0,2.9,03833
952,29.2,4.4,03835
953,-666666666.0,-222222222.0,03836
954,-666666666.0,-222222222.0,03837
955,41.7,35.8,03838
956,25.5,5.1,03839
957,51.0,-333333333.0,03840
958,34.9,12.4,03841
959,32.9,4.4,03842
960,24.9,3.9,03844
961,51.0,-333333333.0,03845
962,26.3,17.2,03846
963,-666666666.0,-222222222.0,03847
964,26.3,52.4,03848
965,44.0,28.7,03849
966,-666666666.0,-222222222.0,03850
967,36.6,7.2,03851
968,-666666666.0,-222222222.0,03852
969,22.6,1.0,03853
970,25.0,4.8,03854
971,27.7,17.2,03855
972,23.0,17.0,03856
973,28.6,2.7,03857
974,42.5,18.0,03858
975,24.5,6.9,03860
976,-666666666.0,-222222222.0,03861
977,22.3,3.5,03862
978,38.1,27.5,03864
979,33.2,8.3,03865
980,29.1,2.6,03867
981,23.6,40.5,03868
982,26.0,37.1,03869
983,28.8,5.5,03870
984,-666666666.0,-222222222.0,03871
985,-666666666.0,-222222222.0,03872
986,51.0,-333333333.0,03873
987,31.8,11.8,03874
988,-666666666.0,-222222222.0,03875
989,34.2,6.8,03878
990,20.8,10.8,03882
991,-666666666.0,-222222222.0,03883
992,32.5,2.1,03884
993,34.4,30.7,03885
994,25.6,14.3,03886
995,46.7,27.5,03887
