zip,pop_female,pop_male,pop_total,sex_ratio,zip_area_km2,pop_density_per_km2
91901,8473,8611,17084,1.0162870293874662,288.90102011818965,59.13443986113625
91902,8860,8145,17005,0.9193002257336343,45.406413247586315,374.5065682082683
91905,1000,669,1669,0.669,306.4952080801543,5.445435869795148
91906,2834,2931,5765,1.034227240649259,387.9408405489661,14.860513246922087
91910,39139,37014,76153,0.9457063287258234,52.23025081648772,1458.0247808413835
91911,42678,40571,83249,0.9506303013262102,46.9028045790263,1774.9258439276093
91913,19009,21337,40346,1.122468304487348,33.40733915413083,1207.698697997359
91914,7871,7756,15627,0.9853894041417863,24.350350611571102,641.756673210864
91915,12821,12305,25126,0.9597535293658841,30.42039393900408,825.9590605690424
91916,974,1032,2006,1.0595482546201231,228.10738294755262,8.79410378602795
91917,791,1485,2276,1.877370417193426,189.80921460201455,11.990987923174535
91931,181,169,350,0.9337016574585635,30.185389622258562,11.595013494273788
91932,12993,13332,26325,1.0260909720618794,17.756883588041855,1482.523657345382
91934,428,347,775,0.8107476635514018,188.65239650752775,4.108084574314302
91935,3842,4393,8235,1.1434148880791255,387.0495829793884,21.27634381261829
91941,17790,15512,33302,0.8719505340078696,30.218446997721326,1102.0420739196556
91942,19614,17272,36886,0.8805954930151932,21.199866611998726,1739.9166077357872
91945,12972,12348,25320,0.9518963922294172,14.508866678243463,1745.1397522294556
91948,169,171,340,1.0118343195266273,128.65312507355392,2.642765185887356
91950,28273,27039,55312,0.9563541187705585,28.082758539757506,1969.607078367794
91962,871,827,1698,0.9494833524684271,215.64305145923106,7.874123411395983
91963,649,513,1162,0.7904468412942989,151.10848265186755,7.689839641081452
91977,30355,28809,59164,0.9490693460714874,38.307472722809855,1544.4506200684782
91978,4107,3849,7956,0.9371804236669101,43.928667916728244,181.1117973138065
91980,133,40,173,0.3007518796992481,13.512441359627534,12.80301578343121
92003,2158,2196,4354,1.0176088971269694,57.56605124903106,75.63485605716764
92004,2032,2022,4054,0.9950787401574803,1971.8286343209138,2.055959594783029
92007,5266,5265,10531,0.9998101025446259,9.731030140233042,1082.2081370870978
92008,13455,14113,27568,1.0489037532515793,43.85773599879708,628.577818078802
92009,20396,19339,39735,0.9481761129633262,45.08838140805013,881.2691597952476
