Address: Postal Code,Community Plan,District,Inclusionary Count,Most Restrictive AMI Range,Number of Affordable Units,Property Name,SDHC Owned,SRO,State Assembly District,State Senate District,Count of Data Export_Summary 2.csv
92116,NORTH PARK,3,0,50%-120%,8,Adams Avenue & Kansas Street,no,no,78,39,1
92116,NORTH PARK,3,0,60%-110%,5,Florida Street ADUs,no,no,78,39,1
92116,NORTH PARK,3,0,80%-80%,8,4450 Georgia Street,yes,no,78,39,1
92116,NORTH PARK,3,0,80%-80%,8,4637 Hamilton Street,yes,no,78,39,1
92116,NORTH PARK,3,0,110%-110%,1,4503 Idaho Street ADUs,no,no,78,39,1
92116,NORTH PARK,3,0,110%-110%,2,4486 Kansas Street ADUS,no,no,78,39,1
92116,NORTH PARK,3,1,50%-50%,1,Pujji Development,no,no,78,39,1
92116,UPTOWN,3,0,0%-0%,0,Park Madison Hotel,no,yes,78,39,1
92116-1832,MID-CITY:NORMAL HEIGHTS,9,0,80%-80%,3,4720 34th Street,yes,no,78,39,1
92116-2425,MID-CITY:NORMAL HEIGHTS,9,0,50%-50%,7,35th Street Apartments,no,no,78,39,1
92116-3482,MID-CITY:NORMAL HEIGHTS,9,0,50%-60%,33,Townspeople 34th Street Apartments,no,no,78,39,1
92116-4224,NORTH PARK,3,0,80%-80%,6,2727 Meade Avenue,yes,no,78,39,1
92117,CLAIREMONT MESA,2,0,30%-60%,45,Cerro Pueblo,no,no,78,39,1
92117,CLAIREMONT MESA,2,0,60%-60%,2,Gila Apartments,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,80%-80%,26,Casa de Balboa,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,1,3021 Luna Avenue ADU,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,1,3031-3033 Luna Avenue ADU,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,1,3248 Clairemont Drive ADUs,no,no,78,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,1,3672 Mabon Place ADUs,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,1,4724 Hidalgo Avenue ADUs,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,1,Gila Ave ADU's,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,2,3582 Hatteras Avenue ADUs,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,2,Atlas at Moraga,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,2,Feather Avenue ADUs,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,5,Firestone Street ADUs,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,6,4578 Jicarillo Avenue ADUs,no,no,77,39,1
92117,CLAIREMONT MESA,2,0,110%-110%,8,Le Jaime,no,no,77,39,1
92117,CLAIREMONT MESA,2,1,30%-60%,93,Modica,no,no,77,39,1
92117,CLAIREMONT MESA,2,1,30%-80%,78,Paul Downey Senior Residence,no,no,77,39,1
92117,CLAIREMONT MESA,2,1,30%-80%,135,Taormina Family Apartments,no,no,77,39,1
92117,MID-CITY:CITY HEIGHTS,4,0,110%-110%,2,2203 Isabel Street ADUs,no,no,80,40,1
92119,NAVAJO,7,0,80%-80%,9,7891 Golfcrest Dr,yes,no,77,39,1
92119,NAVAJO,7,0,80%-80%,124,Lakeshore Villa,no,no,79,39,1
92120,COLLEGE AREA,9,1,65%-65%,64,Sterling Alvarado,no,no,79,39,1
92120,NAVAJO,7,0,30%-30%,73,Trinity Apartments,no,no,79,39,1
92120,NAVAJO,7,0,30%-40%,84,Zephyr Grantville Veterans Apartments,no,no,79,39,1
92120,NAVAJO,7,0,30%-120%,124,ShoreLINE Apartments,no,no,79,39,1
92120,NAVAJO,7,0,35%-90%,13,Twain Avenue Apartments,no,no,79,39,1
92120,NAVAJO,7,0,110%-110%,1,Estrella Avenue ADUs,no,no,79,39,1
92120,NAVAJO,7,1,30%-40%,79,Stella,no,no,79,39,1
92120,NAVAJO,7,1,50%-50%,9,Pakeva Apartments,no,no,79,39,1
92120,NAVAJO,7,1,50%-60%,89,Mesa Verde Apartments,no,no,77,39,1
92120,NAVAJO,7,1,60%-60%,5,Grantville Station Apartments,no,no,79,39,1
92120,NAVAJO,7,1,65%-140%,89,The Verge,no,no,79,39,1
92121,MIRA MESA,6,1,65%-65%,180,Aquila Apartments,no,no,77,39,1
92122,UNIVERSITY,6,0,80%-80%,89,Mirada Apartments,no,no,78,39,1
92122,UNIVERSITY,6,1,65%-65%,30,Palisade Apartments,no,no,78,39,1
92122,UNIVERSITY,6,1,65%-65%,31,La Jolla Crossroads II,no,no,78,39,1
92122,UNIVERSITY,6,1,65%-120%,190,La Jolla Crossroads,no,no,78,39,1
92122,UNIVERSITY,6,1,110%-120%,47,La Jolla Crossroads-Moderate,no,no,78,39,1
92122-4206,UNIVERSITY,6,0,80%-80%,50,4055 Pulitzer Place,yes,no,78,39,1
92123,KEARNY MESA,6,1,65%-65%,13,Ariva Apartments,no,no,77,39,1
92123,KEARNY MESA,6,1,65%-65%,35,Domain Apartments,no,no,77,39,1
92123,KEARNY MESA,6,1,65%-120%,45,Vive Luxe,no,no,77,39,1
92123,KEARNY MESA,7,1,65%-65%,29,Mira Bella Apartments,no,no,79,39,1
92123,KEARNY MESA,7,1,65%-65%,36,Olympus Corsair,no,no,79,39,1
92123,SERRA MESA,7,0,0%-0%,0,Ronald MacDonald House - San Diego North House,no,yes,79,39,1
92123,SERRA MESA,7,0,50%-50%,32,The Salvation Army - Door of Hope,no,no,79,39,1
92123,SERRA MESA,7,0,80%-80%,4,8649 Glenhaven Street,yes,no,79,39,1
92123,SERRA MESA,7,0,80%-80%,4,8701 Glenhaven Street,yes,no,79,39,1
92123,SERRA MESA,7,0,80%-80%,4,8726 Hurlbut Street,yes,no,79,39,1
92123,SERRA MESA,7,0,110%-110%,2,3344-3350 Lockwood Drive ADUs,no,no,79,39,1
92123,SERRA MESA,7,0,110%-110%,2,8331 Neva Avenue ADUs,no,no,79,39,1
92123,SERRA MESA,7,0,110%-110%,2,8335 Neva Avenue ADU,no,no,79,39,1
92123,SERRA MESA,7,0,110%-110%,2,The Atlas at Angwin,no,no,79,39,1
92123-2107,SERRA MESA,7,0,80%-80%,4,8637 Glenhaven Street,yes,no,79,39,1
92123-2107,SERRA MESA,7,0,80%-80%,4,8661 Glenhaven Street,yes,no,79,39,1
92123-2171,SERRA MESA,7,0,80%-80%,4,8714 Hurlbut Street,yes,no,79,39,1
92123-3355,SERRA MESA,7,0,80%-80%,2,2766 Cardinal Road,yes,no,79,39,1
92124,TIERRASANTA,7,0,80%-80%,13,Tierra Corte Senior Apartments,no,no,77,39,1
92126,MIRA MESA,6,0,65%-65%,21,Casa Mira View Phase III,no,no,77,39,1
92126,MIRA MESA,6,0,80%-80%,1,11226 Tyrolean Way ADU,no,no,77,39,1
92126,MIRA MESA,6,0,80%-80%,5,8792 Mira Mesa Blvd,yes,no,77,39,1
92126,MIRA MESA,6,0,80%-80%,5,8816 Mira Mesa Blvd,yes,no,77,39,1
92126,MIRA MESA,6,0,90%-90%,2,Alta MP,no,no,77,39,1
92126,MIRA MESA,6,0,110%-110%,1,7248 Canyon Hill Way ADUs,no,no,77,39,1
92126,MIRA MESA,6,0,110%-110%,1,8356 Menkar Road ADUs,no,no,77,39,1
92126,MIRA MESA,6,0,110%-110%,1,Torero Place ADUs,no,no,77,39,1
92126,MIRA MESA,6,1,65%-65%,82,Casa Mira View Phase I,no,no,77,39,1
92126,MIRA MESA,6,1,65%-65%,82,Casa Mira View Phase II,no,no,77,39,1
92126-4107,MIRA MESA,6,0,80%-80%,131,Maya Linda,yes,no,77,39,1
92127,BLACK MOUNTAIN RANCH,5,0,50%-60%,82,Fairbanks Terrace Apartments,no,no,77,38,1
92127,BLACK MOUNTAIN RANCH,5,0,50%-60%,98,Fairbanks Square,no,no,77,38,1
92127,BLACK MOUNTAIN RANCH,5,0,60%-65%,203,Fairbanks Ridge Apartments,no,no,77,38,1
92127,BLACK MOUNTAIN RANCH,5,0,65%-65%,10,Chandon Village,no,no,77,38,1
92127,BLACK MOUNTAIN RANCH,5,1,50%-60%,118,Rancho Del Norte Apartments,no,no,77,38,1
92127,BLACK MOUNTAIN RANCH,5,1,60%-60%,31,Fairbanks Terrace II,no,no,77,38,1
92127,RANCHO BERNARDO,5,0,40%-60%,175,Tizon,no,no,77,39,1
92127,RANCHO BERNARDO,5,0,50%-60%,163,Fairbanks Commons,no,no,77,39,1
92127,SOUTHEASTERN SAN DIEGO,9,0,110%-110%,1,4104 F Street ADUs,no,no,80,40,1
92128,CARMEL MOUNTAIN RANCH,5,0,60%-120%,15,Alante,no,no,77,38,1
92128,RANCHO PENASQUITOS,5,1,60%-60%,81,The Junipers,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,0,50%-50%,22,Millennium PQ,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,0,50%-60%,353,Canyon Rim Apartments,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,0,60%-60%,47,Aurora Apartments,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,0,80%-80%,1,Hampe Court ADU,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,0,90%-90%,1,9822 Paseo Montalban ADUs,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,0,110%-110%,1,Paseo Montalban ADUs,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,1,65%-65%,31,Cresta Bella,no,no,77,39,1
92129,RANCHO PENASQUITOS,5,1,65%-65%,60,Courtyard Pacific Village,no,no,77,39,1
92129,TORREY HIGHLANDS,5,0,50%-60%,25,Villa Glen Apartments,no,no,77,39,1
92129,TORREY HIGHLANDS,5,0,50%-60%,75,Torrey Highlands Apartments,no,no,77,39,1
92129,TORREY HIGHLANDS,5,0,65%-65%,4,Vista Terraza II,no,no,77,39,1
92129,TORREY HIGHLANDS,5,0,65%-65%,123,Vista Terraza Apartments,no,no,77,39,1
92129,TORREY HIGHLANDS,5,1,50%-60%,20,Park Terramar Apartments,no,no,77,39,1
92130,CARMEL VALLEY,1,0,50%-60%,89,Cielo Carmel Apartments II,no,no,77,39,1
92130,CARMEL VALLEY,1,0,65%-65%,38,Seabreeze Farms,no,no,77,39,1
92130,CARMEL VALLEY,1,1,65%-65%,9,Altura Apartments,no,no,77,39,1
92130,CARMEL VALLEY,1,1,65%-65%,61,One Paseo,no,no,77,39,1
92130,NCFUA SUBAREA II,1,0,60%-60%,20,Del Mar Highlands Estates,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,40%-60%,15,Del Mar MDU Buildings,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,50%-60%,27,Torrey Vale,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,50%-60%,31,Villa Andalucia Apartments,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,50%-60%,77,Luna,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,50%-60%,91,Windwood Village Apartments,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,50%-60%,95,Rancho Del Sol,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,50%-60%,106,Cielo Carmel Apartments I,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,50%-60%,107,The Crossings,no,no,77,39,1
92130,PACIFIC HIGHLANDS RANCH,1,0,65%-65%,23,Derby Terrace Apartments,no,no,77,39,1
92130,TORREY HIGHLANDS,1,0,30%-60%,110,Torrey Del Mar,no,no,77,39,1
92130,TORREY HILLS,1,1,65%-65%,24,Torrey Gardens,no,no,77,39,1
92130-4102,CARMEL VALLEY,1,0,80%-80%,45,12643 El Camino Real,yes,no,77,39,1
92131,MIRAMAR RANCH NORTH,5,0,50%-50%,53,Livia,no,no,77,38,1
92131,RANCHO ENCANTADA,6,0,50%-65%,106,Sagewood Estates At Stonebridge,no,no,77,38,1
92139,SKYLINE-PARADISE HILLS,4,0,40%-80%,170,Mariner's Village,no,no,79,40,1
92139,SKYLINE-PARADISE HILLS,4,0,50%-60%,443,Meadowbrook Apartments,no,no,79,40,1
92139-3049,SKYLINE-PARADISE HILLS,4,0,80%-80%,3,2325 Rachael Avenue,yes,no,80,40,1
92154,OTAY MESA,8,0,90%-90%,6,5202 Sunset Wave Drive,no,no,80,40,1
92154,OTAY MESA,8,1,50%-60%,41,Pacifica at Playa del Sol,no,no,80,40,1
92154,OTAY MESA,8,1,65%-65%,8,Greenfield Village Apartments,no,no,80,40,1
92154,OTAY MESA,8,1,90%-90%,53,Agualuna by Tri Pointe Homes,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,0%-0%,72,Otay Park,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,30%-30%,82,Benson Apartments,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,30%-60%,90,Del Sol Apartments,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,30%-60%,105,Tesoro Grove Apartments,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,30%-60%,310,Coronado Terrace,no,no,80,40,1
92154,OTAY MESA-NESTOR,8,0,45%-50%,41,Mesa Family Villas,no,no,80,40,1
