ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,AffordableUnits,DaysToIssuance,IsIssued,HasCategory,HasProjectID
2369431,405 16TH ST,653111,Created,Digital-The Fellow (high rise),Acc Struct to 3+ Fam or NonRes,11/21/2019,,11,,0,1,1
2372152,4566 30TH ST,653144,Issued,DIGITAL-30th St. Apartments,Five or More Family Apt,11/27/2019,6/27/2022,2,943,1,1,1
2371082,4505 ILLINOIS ST,653414,Issued,Digi - IS_Micro Units,Five or More Family Apt,11/26/2019,2/11/2022,2,808,1,1,1
2372277,5310 ADOBE FALLS RD,653571,Completed,Waring Gardens Apartments,Five or More Family Apt,11/27/2019,5/28/2021,9,548,1,1,1
2372219,2001 04TH AV,653656,Completed,The Hawthorne (Building C),Add/Alt Tenant Improvements,11/27/2019,8/21/2020,3,268,1,1,1
2373556,5858 MOUNT ALIFAN DR,653910,Completed,Ivy Senior Apartments,Five or More Family Apt,12/4/2019,5/13/2020,52,161,1,1,1
2374590,4530 INGRAHAM ST,654100,Completed,Blue Car new multi-family,Five or More Family Apt,12/6/2019,3/19/2021,1,469,1,1,1
2374800,4310 ARAGON DR,654145,Cancelled,Digital - University Mixed Use,Five or More Family Apt,12/6/2019,,2,,0,1,1
2374859,4555 30TH ST,654148,Issued,Digital-Fenton Residential,Five or More Family Apt,12/6/2019,4/11/2022,5,857,1,1,1
2375398,4333 ILLINOIS ST,654258,Completed,Illinois St Apartments,Five or More Family Apt,12/9/2019,1/27/2020,5,49,1,1,1
2375895,2441 UNIVERSITY AV,654375,Completed,n-B-tween (bldg) PERMIT NOW,Five or More Family Apt,12/10/2019,5/26/2021,3,533,1,1,1
2376430,5930 DIVISION ST,654482,Completed,Valencia pointe mixed use,Five or More Family Apt,12/11/2019,2/23/2021,102,440,1,1,1
2376657,1011 UNION ST,654500,Completed,Digitl 220 W Broadway Hi Rise,Five or More Family Condo,12/11/2019,7/1/2021,41,568,1,1,1
2377287,2078 HARRISON AV,654636,Created,Shift2 New MDU,Five or More Family Apt,12/12/2019,,1,,0,1,1
2377391,3056 IMPERIAL AV,654657,Created,Shift New MDU,Five or More Family Apt,12/12/2019,,1,,0,1,1
2377660,3023 IMPERIAL AV,654700,Created,Cholla House New MDU,Five or More Family Apt,12/12/2019,,1,,0,1,1
2379863,6073 AVENIDA CHAMNEZ,655099,Created,Stanley Guest Quarters,"Add/Alt Guest House, No Chg DU",12/17/2019,,1,,0,1,1
2381482,4060 OREGON ST,655271,Created,Closed,,12/19/2019,,3,,0,0,1
2382081,6863 NEWBERRY ST,655479,Completed,Tran Addition and Remodel,"Add/Alt 1 or 2 Fam, No Chg DU",12/19/2019,10/13/2020,1,299,1,1,1
2383799,2100 04TH AV,655732,Issued,Digital-Hawthorn,Five or More Family Apt,12/23/2019,2/28/2022,6,798,1,1,1
2385119,4031 CAMINITO DEHESA,656033,Completed,No Plan Combo Permit,"Add/Alt 1 or 2 Fam, No Chg DU",1/8/2020,1/8/2020,1,0,1,1,1
2390245,376 NAUTILUS ST,657204,Completed,Combination (No Plan permit),"Add/Alt 1 or 2 Fam, No Chg DU",1/28/2020,1/28/2020,1,0,1,1,1
2390296,4551 HAMILTON ST,657213,Completed,Ten on Hamilton MDU,Five or More Family Apt,1/28/2020,11/14/2020,1,291,1,1,1
2395113,2645 ULRIC ST,657817,Completed,Digital-Ulric St Apart,Five or More Family Apt,2/7/2020,10/20/2020,10,256,1,1,1
2394024,1951 47TH ST Unit 37,658045,Completed,MOBILE HOME INSTALLATION,New/Replac Mobile Home Inst,2/5/2020,2/5/2020,1,0,1,1,1
2395715,4233 KANSAS ST,658054,Issued,Digital - Kansas St. Units,Five or More Family Apt,2/10/2020,5/3/2022,4,813,1,1,1
