ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,ProjectURL,ApprovalURL,AffordableUnits
2555109,7251 NAVAL WY,692195,Completed,DGTL-3R- Affordable Apt (PA12),Five or More Family Apt,6/2/2021,1/5/2022,https://opendsd.sandiego.gov/Web/Projects/Details/692195,https://opendsd.sandiego.gov/Web/Approvals/Details/2555109,180
2555213,4135 PARK BL,692332,Issued,DGT-ParkBlvd.Flats Fdn&Frm Ph1,Five or More Family Apt,6/3/2021,6/17/2022,https://opendsd.sandiego.gov/Web/Projects/Details/692332,https://opendsd.sandiego.gov/Web/Approvals/Details/2555213,10
2563874,2250 SISAL LN,693790,Issued,DGITAL-Epoca L MDU,Five or More Family Apt,6/30/2021,8/31/2023,https://opendsd.sandiego.gov/Web/Projects/Details/693790,https://opendsd.sandiego.gov/Web/Approvals/Details/2563874,59
2577222,2440 CACTUS RD Unit Bldg. B,693790,Issued,DGITAL-Epoca L MDU,Five or More Family Apt,8/30/2021,8/31/2023,https://opendsd.sandiego.gov/Web/Projects/Details/693790,https://opendsd.sandiego.gov/Web/Approvals/Details/2577222,60
2565868,3776 RILEY ST,693992,Created,Digi.Freedom Center Add/Remode,Non Res Conver to 3+ Fam,7/8/2021,,https://opendsd.sandiego.gov/Web/Projects/Details/693992,https://opendsd.sandiego.gov/Web/Approvals/Details/2565868,10
2571641,3831 03RD AV,694250,Created,Digital - 3831 03rd Ave MDU,Five or More Family Apt,7/28/2021,,https://opendsd.sandiego.gov/Web/Projects/Details/694250,https://opendsd.sandiego.gov/Web/Approvals/Details/2571641,2
2575738,14193 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Three or Four Family Condo,8/18/2021,2/24/2022,https://opendsd.sandiego.gov/Web/Projects/Details/694403,https://opendsd.sandiego.gov/Web/Approvals/Details/2575738,3
2575940,14161 OLD EL CAMINO REAL,694403,Cancelled,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/19/2021,2/24/2022,https://opendsd.sandiego.gov/Web/Projects/Details/694403,https://opendsd.sandiego.gov/Web/Approvals/Details/2575940,5
2575944,14129 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/19/2021,2/24/2022,https://opendsd.sandiego.gov/Web/Projects/Details/694403,https://opendsd.sandiego.gov/Web/Approvals/Details/2575944,6
2577565,14105 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/31/2021,2/24/2022,https://opendsd.sandiego.gov/Web/Projects/Details/694403,https://opendsd.sandiego.gov/Web/Approvals/Details/2577565,5
2577569,14141 OLD EL CAMINO REAL,694403,Completed,DIGITL-Del Mar MDU Bldgs,Five or More Family Condo,8/31/2021,2/24/2022,https://opendsd.sandiego.gov/Web/Projects/Details/694403,https://opendsd.sandiego.gov/Web/Approvals/Details/2577569,1
2573624,8201 MERGE AV,694511,Completed,DGT- MERGE 56 Afford. Housing,Five or More Family Apt,8/5/2021,5/13/2022,https://opendsd.sandiego.gov/Web/Projects/Details/694511,https://opendsd.sandiego.gov/Web/Approvals/Details/2573624,47
2573088,2820 POLK AV,695615,Issued,Digital Leparc Multi-Dwelling,Five or More Family Apt,8/3/2021,5/6/2023,https://opendsd.sandiego.gov/Web/Projects/Details/695615,https://opendsd.sandiego.gov/Web/Approvals/Details/2573088,3
PMT-3228520,"5411 Lauretta St, San Diego, CA 92110",PRJ-1036736,Cancelled Application Expired,General-Standard-Building Construction:5411/Lauretta,Add/Alt Companion Unit/Acc Apt,6/15/2023,,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01KCX&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC23&capID2=00000&capID3=01T43&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3113519,"4200 Tonopah Av, San Diego, CA 92110",PRJ-1037602,Inspection Followup,General-Express-Building Construction:4200/Tonopah,Five or More Family Condo,8/30/2021,3/23/2023,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01O7D&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01X1M&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3112004,"4070 Georgia St, San Diego, CA",PRJ-1037740,Closed,General-Standard-Building Construction:4070/Georgia,Five or More Family Apt,8/18/2021,1/5/2023,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01OX0&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01TOW&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3118334,"3411 31st St, San Diego, CA 92104",PRJ-1038987,Closed,General-Standard-Building Construction:3411/31st,Three or Four Family Apt,9/29/2021,11/14/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01UA3&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=027AR&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3114364,"414 Arbor Dr, San Diego, CA",PRJ-1039103,Inspection Followup,General-Standard-Building Construction:414/Arbor,Add/Alt Companion Unit/Acc Apt,9/2/2021,10/18/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01UO6&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01YWE&agencyCode=SANDIEGO&IsToShowInspection=,2
PMT-3114354,"4555 Alabama St, San Diego, CA 92116",PRJ-1039160,Closed,General-Standard-Building Construction:4555/Alabama,Add/Alt Companion Unit/Acc Apt,9/2/2021,6/16/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01UWQ&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01YV8&agencyCode=SANDIEGO&IsToShowInspection=,1
PMT-3114904,"1120 Nestor Wy, San Diego, CA 92154",PRJ-1039884,Closed,General-Express-Building Construction:1120/Nestor,Five or More Family Apt,9/8/2021,4/26/2022,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01Y3G&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01ZZH&agencyCode=SANDIEGO&IsToShowInspection=,73
PMT-3116040,"3084 Meade Av, San Diego, CA",PRJ-1040142,Closed,General-Standard-Building Construction:3084/Meade,Five or More Family Condo,9/15/2021,3/14/2023,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=01Z89&agencyCode=SANDIEGO&IsToShowInspection=,https://aca-prod.accela.com/SANDIEGO/Cap/CapDetail.aspx?Module=DSD&TabName=DSD&capID1=REC21&capID2=00000&capID3=022EP&agencyCode=SANDIEGO&IsToShowInspection=,1
