JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,PROJECT_TYPE,NOTES
SAN DIEGO,San Diego,2023.0,,3130111300,"11422 Caden Lp, San Diego, CA 92129",,PMT-3199737,2 to 4,Renter,2023-01-22,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4855140800,"8811 Blue Lake Dr, San Diego, CA",,PMT-3210752,2 to 4,Renter,2023-03-17,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,5342620300,"1147 22nd St, San Diego, CA",,PMT-3254223,5+,Renter,2023-10-24,0,0,0,0.0,3.0,0.0,6.0,9.0,9.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3597911300,"2694 Havasupai Av, San Diego, CA",,PMT-3237953,2 to 4,Renter,2023-08-01,0,0,0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6774001800,"2613 Everly Dr, San Diego, CA",Express- Master Plan MDU:8080/Friars,PMT-3250281,5+,Renter,2023-10-03,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6774001800,"2501 Everly Ct, San Diego, CA",Express- Master Plan MDU:8080/Friars,PMT-3250285,5+,Renter,2023-10-03,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6774001800,"2732 Everly Dr, San Diego, CA",Express- Master Plan MDU:8080/Friars,PMT-3250288,5+,Renter,2023-10-03,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6380200500,"3509 Vista (Sb) Ln, San Diego, CA 92173",Actively Managed-Express-Building Construction:3509/Vista (Sb),PMT-3229743,5+,Renter,2023-06-22,20,0,59,0.0,20.0,0.0,1.0,100.0,100.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4666920400,"5472 El Cajon Bl, San Diego, CA 92115",Actively Managed-Express-Building Permit:5472/El Cajon,PMT-3218169,5+,Renter,2023-04-26,0,0,131,0.0,0.0,0.0,0.0,131.0,131.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4320702000,"2301 Ulric St, San Diego, CA",General-Standard-Building Construction:2301/Ulric,PMT-3202050,5+,Renter,2023-02-03,3,0,0,0.0,0.0,0.0,37.0,40.0,40.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4464912100,"3760 Bancroft St, San Diego, CA",Actively Managed-Express-Building Construction:3760/Bancroft,PMT-3196309,5+,Renter,2023-01-03,6,0,4,0.0,6.0,0.0,180.0,196.0,196.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,5481421800,"4982 Imperial Av, San Diego, CA",General-Standard-Building Construction:4982/Imperial,PMT-3197454,5+,Renter,2023-01-09,2,0,0,0.0,0.0,0.0,16.0,18.0,18.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6370204700,"1507 Howard (Sb) Av, San Diego, CA",Actively Managed-Express-Building Construction:1507/Howard (Sb),PMT-3259420,5+,Renter,2023-11-15,5,0,3,0.0,5.0,0.0,51.0,64.0,64.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6380200200,"3475 Vista (Sb) Ln, San Diego, CA",General-Standard-Building Construction:3475/Vista (Sb),PMT-3212468,5+,Renter,2023-03-29,0,0,0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235863,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235868,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,No,,Approved,Ministerial,
