,B25071_001E,B25071_001EA,B25071_001M,B25071_001MA,GEO_ID,NAME,state,county,tract
289,51.0,50.0+,-333333333.0,***,1400000US06073010110,,06,073,010110
290,41.4,,16.7,,1400000US06073010111,,06,073,010111
291,40.6,,8.3,,1400000US06073010112,,06,073,010112
292,32.8,,7.0,,1400000US06073010201,,06,073,010201
293,32.1,,3.0,,1400000US06073010202,,06,073,010202
294,36.7,,8.1,,1400000US06073010300,,06,073,010300
295,39.0,,10.4,,1400000US06073010401,,06,073,010401
296,36.4,,3.8,,1400000US06073010402,,06,073,010402
297,23.8,,2.1,,1400000US06073010501,,06,073,010501
298,33.3,,3.1,,1400000US06073010502,,06,073,010502
299,38.0,,11.0,,1400000US06073010601,,06,073,010601
300,32.7,,6.0,,1400000US06073010800,,06,073,010800
301,28.5,,3.0,,1400000US06073010900,,06,073,010900
302,37.2,,13.3,,1400000US06073011000,,06,073,011000
303,36.7,,8.0,,1400000US06073011100,,06,073,011100
304,32.2,,9.1,,1400000US06073011300,,06,073,011300
305,25.0,,6.4,,1400000US06073011601,,06,073,011601
306,23.9,,2.9,,1400000US06073011602,,06,073,011602
307,35.4,,3.5,,1400000US06073011700,,06,073,011700
308,42.9,,19.9,,1400000US06073011801,,06,073,011801
309,47.3,,11.0,,1400000US06073011802,,06,073,011802
310,51.0,50.0+,-333333333.0,***,1400000US06073011902,,06,073,011902
311,32.1,,1.7,,1400000US06073012002,,06,073,012002
312,38.1,,15.7,,1400000US06073012003,,06,073,012003
313,34.5,,9.3,,1400000US06073012101,,06,073,012101
314,38.5,,17.3,,1400000US06073012102,,06,073,012102
315,35.0,,5.4,,1400000US06073012200,,06,073,012200
316,35.6,,5.8,,1400000US06073012302,,06,073,012302
317,45.9,,10.8,,1400000US06073012303,,06,073,012303
318,45.7,,11.5,,1400000US06073012304,,06,073,012304
319,27.8,,3.2,,1400000US06073012401,,06,073,012401
320,33.7,,7.2,,1400000US06073012402,,06,073,012402
321,34.9,,13.8,,1400000US06073012501,,06,073,012501
322,33.3,,7.7,,1400000US06073012502,,06,073,012502
323,32.2,,9.7,,1400000US06073012600,,06,073,012600
324,33.5,,5.1,,1400000US06073012700,,06,073,012700
325,42.3,,5.3,,1400000US06073012800,,06,073,012800
326,30.2,,9.9,,1400000US06073012900,,06,073,012900
327,37.7,,4.5,,1400000US06073013000,,06,073,013000
328,38.9,,4.4,,1400000US06073013102,,06,073,013102
329,32.8,,11.7,,1400000US06073013103,,06,073,013103
330,39.2,,8.4,,1400000US06073013104,,06,073,013104
331,37.0,,5.8,,1400000US06073013203,,06,073,013203
332,41.1,,10.0,,1400000US06073013204,,06,073,013204
333,36.2,,12.5,,1400000US06073013205,,06,073,013205
334,40.7,,10.5,,1400000US06073013206,,06,073,013206
335,36.5,,7.0,,1400000US06073013301,,06,073,013301
336,35.1,,7.2,,1400000US06073013302,,06,073,013302
337,34.9,,37.3,,1400000US06073013303,,06,073,013303
338,44.2,,15.7,,1400000US06073013306,,06,073,013306
339,36.5,,28.7,,1400000US06073013307,,06,073,013307
340,34.7,,19.9,,1400000US06073013308,,06,073,013308
341,30.7,,5.2,,1400000US06073013309,,06,073,013309
342,18.7,,17.8,,1400000US06073013312,,06,073,013312
343,31.3,,2.8,,1400000US06073013315,,06,073,013315
344,31.4,,5.9,,1400000US06073013316,,06,073,013316
345,36.2,,24.2,,1400000US06073013317,,06,073,013317
346,26.5,,2.4,,1400000US06073013318,,06,073,013318
347,51.0,50.0+,-333333333.0,***,1400000US06073013319,,06,073,013319
348,44.0,,7.5,,1400000US06073013320,,06,073,013320
349,32.9,,41.6,,1400000US06073013321,,06,073,013321
350,29.2,,13.0,,1400000US06073013322,,06,073,013322
351,21.8,,4.6,,1400000US06073013323,,06,073,013323
352,34.4,,11.0,,1400000US06073013324,,06,073,013324
353,39.5,,32.2,,1400000US06073013325,,06,073,013325
354,24.9,,15.7,,1400000US06073013326,,06,073,013326
355,35.0,,23.8,,1400000US06073013327,,06,073,013327
356,18.7,,4.7,,1400000US06073013401,,06,073,013401
357,46.4,,10.1,,1400000US06073013409,,06,073,013409
358,20.2,,20.1,,1400000US06073013411,,06,073,013411
359,37.7,,15.6,,1400000US06073013412,,06,073,013412
360,21.7,,14.4,,1400000US06073013414,,06,073,013414
361,15.3,,32.4,,1400000US06073013415,,06,073,013415
362,42.6,,8.9,,1400000US06073013416,,06,073,013416
363,32.6,,25.5,,1400000US06073013417,,06,073,013417
364,51.0,50.0+,-333333333.0,***,1400000US06073013418,,06,073,013418
365,51.0,50.0+,-333333333.0,***,1400000US06073013420,,06,073,013420
366,25.6,,9.3,,1400000US06073013421,,06,073,013421
367,21.4,,10.9,,1400000US06073013422,,06,073,013422
368,31.3,,6.6,,1400000US06073013423,,06,073,013423
369,19.9,,17.9,,1400000US06073013424,,06,073,013424
370,-666666666.0,-,-222222222.0,**,1400000US06073013425,,06,073,013425
371,37.1,,7.4,,1400000US06073013503,,06,073,013503
372,23.0,,11.1,,1400000US06073013504,,06,073,013504
373,34.0,,9.8,,1400000US06073013505,,06,073,013505
374,26.5,,8.5,,1400000US06073013506,,06,073,013506
375,28.6,,7.4,,1400000US06073013601,,06,073,013601
376,35.4,,6.4,,1400000US06073013604,,06,073,013604
377,51.0,50.0+,-333333333.0,***,1400000US06073013605,,06,073,013605
378,28.7,,27.4,,1400000US06073013607,,06,073,013607
379,48.7,,20.3,,1400000US06073013608,,06,073,013608
380,38.8,,9.4,,1400000US06073013701,,06,073,013701
381,35.8,,4.5,,1400000US06073013702,,06,073,013702
382,51.0,50.0+,-333333333.0,***,1400000US06073013801,,06,073,013801
383,28.2,,10.7,,1400000US06073013802,,06,073,013802
384,24.7,,8.4,,1400000US06073013903,,06,073,013903
385,37.0,,11.9,,1400000US06073013905,,06,073,013905
386,33.4,,4.6,,1400000US06073013906,,06,073,013906
387,30.4,,9.3,,1400000US06073013907,,06,073,013907
388,22.2,,9.2,,1400000US06073013908,,06,073,013908
389,51.0,50.0+,-333333333.0,***,1400000US06073013909,,06,073,013909
390,36.9,,5.7,,1400000US06073014001,,06,073,014001
391,35.5,,9.7,,1400000US06073014002,,06,073,014002
392,32.5,,5.0,,1400000US06073014101,,06,073,014101
393,34.4,,7.7,,1400000US06073014102,,06,073,014102
394,32.2,,1.7,,1400000US06073014200,,06,073,014200
395,27.7,,13.2,,1400000US06073014300,,06,073,014300
396,44.7,,12.9,,1400000US06073014400,,06,073,014400
397,36.4,,6.1,,1400000US06073014500,,06,073,014500
398,29.8,,8.5,,1400000US06073014601,,06,073,014601
399,35.7,,7.4,,1400000US06073014602,,06,073,014602
400,27.8,,3.0,,1400000US06073014701,,06,073,014701
401,48.8,,19.9,,1400000US06073014702,,06,073,014702
402,33.1,,5.8,,1400000US06073014803,,06,073,014803
403,37.9,,5.8,,1400000US06073014804,,06,073,014804
404,30.0,,12.7,,1400000US06073014805,,06,073,014805
405,35.4,,10.8,,1400000US06073014806,,06,073,014806
406,34.4,,5.7,,1400000US06073014901,,06,073,014901
407,34.9,,3.4,,1400000US06073014902,,06,073,014902
408,29.4,,12.5,,1400000US06073015001,,06,073,015001
409,41.8,,6.2,,1400000US06073015002,,06,073,015002
