zip,pop_female,pop_male,pop_total,sex_ratio,zip_area_km2,pop_density_per_km2
91901,8473,8611,17084,1.0162870293874662,288.90102011819044,59.13443986113609
91902,8860,8145,17005,0.9193002257336343,45.406413247585775,374.5065682082727
91905,1000,669,1669,0.669,306.49520808015694,5.4454358697951015
91906,2834,2931,5765,1.034227240649259,387.94084054896285,14.860513246922212
91910,39139,37014,76153,0.9457063287258234,52.230250816487946,1458.0247808413772
91911,42678,40571,83249,0.9506303013262102,46.90280457902689,1774.925843927587
91913,19009,21337,40346,1.122468304487348,33.407339154130405,1207.6986979973744
91914,7871,7756,15627,0.9853894041417863,24.350350611571915,641.7566732108427
91915,12821,12305,25126,0.9597535293658841,30.42039393900459,825.9590605690285
91916,974,1032,2006,1.0595482546201231,228.10738294755313,8.79410378602793
91917,791,1485,2276,1.877370417193426,189.80921460201174,11.990987923174712
91931,181,169,350,0.9337016574585635,30.18538962225793,11.595013494274031
91932,12993,13332,26325,1.0260909720618794,17.7568835880413,1482.5236573454283
91934,428,347,775,0.8107476635514018,188.65239650752963,4.108084574314261
91935,3842,4393,8235,1.1434148880791255,387.04958297938634,21.276343812618403
91941,17790,15512,33302,0.8719505340078696,30.21844699772178,1102.042073919639
91942,19614,17272,36886,0.8805954930151932,21.19986661199868,1739.916607735791
91945,12972,12348,25320,0.9518963922294172,14.50886667824353,1745.1397522294474
91948,169,171,340,1.0118343195266273,128.6531250735538,2.642765185887358
91950,28273,27039,55312,0.9563541187705585,28.08275853975728,1969.60707836781
91962,871,827,1698,0.9494833524684271,215.64305145923055,7.874123411396002
91963,649,513,1162,0.7904468412942989,151.10848265186826,7.6898396410814165
91977,30355,28809,59164,0.9490693460714874,38.30747272281032,1544.4506200684598
91978,4107,3849,7956,0.9371804236669101,43.92866791672711,181.1117973138112
91980,133,40,173,0.3007518796992481,13.512441359628083,12.80301578343069
92003,2158,2196,4354,1.0176088971269694,57.566051249032704,75.63485605716549
92004,2032,2022,4054,0.9950787401574803,1971.8286343209193,2.055959594783024
92007,5266,5265,10531,0.9998101025446259,9.731030140233154,1082.2081370870853
92008,13455,14113,27568,1.0489037532515793,43.85773599879712,628.5778180788016
92009,20396,19339,39735,0.9481761129633262,45.088381408049486,881.2691597952602
92010,7533,6948,14481,0.9223416965352449,30.749758598044572,470.9305262943063
92011,11732,10661,22393,0.9087112171837709,25.014039451541827,895.2172656231951
92014,6782,6650,13432,0.9805367148333825,24.970062846166357,537.9241567292335
92019,21721,20916,42637,0.9629390912020626,116.58604447360517,365.7127248163302
92020,29663,28744,58407,0.9690186427535987,40.85768651056562,1429.5229365200646
92021,33434,31793,65227,0.9509182269545972,103.79373994869339,628.4290365897073
92024,26739,25840,52579,0.9663786977822656,70.41431291974608,746.7089831569658
92025,24548,23727,48275,0.9665553201890175,84.18509690115583,573.4387887761308
92026,26658,25759,52417,0.9662765398754595,134.00317312331654,391.16237905622734
92027,26684,26459,53143,0.9915679808124719,222.72703423947334,238.60147997508602
92028,23896,22553,46449,0.94379812520924,432.5235634277197,107.39068094208521
92029,9942,8682,18624,0.8732649366324683,85.15203765040073,218.7146721780457
92036,1808,1765,3573,0.9762168141592921,1867.7464568852695,1.913000550384382
92037,19968,18684,38652,0.9356971153846154,51.76242212826869,746.719307381314
92040,20309,19977,40286,0.9836525678270718,253.17325913163955,159.12423033213378
92054,18628,19313,37941,1.036772600386515,31.040081218208755,1222.3228326394656
92055,10051,23361,33412,2.324246343647398,483.9287548133007,69.04322106854411
92056,26567,25023,51590,0.941882786916099,45.74539414415408,1127.7638102194123
92057,27661,26491,54152,0.9577021799645711,56.83617853145508,952.7734164961572
92058,11807,11599,23406,0.9823833319217413,171.4641105682267,136.5067005709431
92059,762,736,1498,0.9658792650918635,102.60512693141452,14.599660317182051
92060,281,497,778,1.7686832740213523,256.30296566696074,3.0354701436070415
92061,1170,1685,2855,1.4401709401709402,129.41213927126154,22.061299782824992
92064,24269,23635,47904,0.9738761382834068,156.57233409749296,305.9544349014533
92065,17640,17725,35365,1.0048185941043084,631.3715109325318,56.01298029390986
92066,263,167,430,0.6349809885931559,81.84651609008233,5.25373614591892
92067,4619,4070,8689,0.8811431045680883,83.00898943552879,104.67540996567065
92069,23325,22997,46322,0.9859378349410504,68.47391455781147,676.4911908299189
92070,384,313,697,0.8151041666666666,497.97291686306875,1.399674513205824
92071,27382,25829,53211,0.9432839091373896,70.06933632551241,759.4049378861571
92075,5969,5885,11854,0.9859272910035182,13.95617411475146,849.3731808254316
92078,20955,19028,39983,0.9080410403245049,62.28324198242126,641.9543801410458
92081,13877,13545,27422,0.9760755206456727,33.09468344029243,828.5923039413033
92082,9168,8728,17896,0.9520069808027923,466.8810489940501,38.33096254079926
92083,18260,18822,37082,1.0307776560788608,20.57650046902606,1802.152900383609
92084,24645,23216,47861,0.9420166362345304,105.25019446807467,454.7355018381233
92086,557,574,1131,1.030520646319569,824.4796815481996,1.3717742538860627
92091,814,807,1621,0.9914004914004914,4.76788765176956,339.98284321955026
92093,4362,4356,8718,0.9986244841815681,3.273868398850795,2662.9048385268707
92096,316,306,622,0.9683544303797469,1.209219929618726,514.3812012725593
92101,14454,21169,35623,1.4645772796457728,40.51157787240877,879.328870186065
92102,21212,21755,42967,1.0255987177069583,16.47649831814223,2607.7749756262924
92103,14646,16034,30680,1.0947699030452,13.529154473559554,2267.695299063875
92104,21894,23053,44947,1.0529368776833836,13.563215963906456,3313.8895760127994
92105,35576,34694,70270,0.9752080053968968,21.204505247285297,3313.9183951955824
92106,10307,11540,21847,1.1196274376637236,24.27110292816973,900.1239072099914
92107,13116,13813,26929,1.0531412015858495,12.791368706447315,2105.247735250318
92108,8838,9353,18191,1.0582711020592894,16.2587951257899,1118.8405942298402
92109,21191,24611,45802,1.1613892690293048,43.73011778447265,1047.3788391272758
92110,12014,11838,23852,0.9853504245047444,18.69734636384933,1275.6890489078714
92111,24175,23695,47870,0.9801447776628749,31.170930027107115,1535.7257533981472
92113,25682,25528,51210,0.9940035822755238,19.06041823012013,2686.719639712609
92114,33352,32081,65433,0.9618913408491245,30.404272176209343,2152.0988767887643
92115,27847,28847,56694,1.0359105110065716,22.658816423038726,2502.072435802756
92116,15567,15872,31439,1.0195927282071047,12.414120794812577,2532.5192592887647
92117,25075,25542,50617,1.0186241276171486,32.00886283132016,1581.343275665266
92118,8572,8469,17041,0.9879841343910406,48.17345356631557,353.7425436302041
92119,11947,11092,23039,0.9284339164643843,25.055281522066196,919.5266866073543
92120,13587,12598,26185,0.9272098329285346,28.23281763542043,927.4667636130206
92121,1990,2263,4253,1.1371859296482412,46.279066522843095,91.8990014178601
92122,21954,21428,43382,0.9760408126081808,19.794643675445233,2191.602976607975
92123,13456,12887,26343,0.9577140309155767,31.66117258558051,832.0285652337914
